Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000620119862752723,0.00117258300688127,-0.0640051930316667,0,0,0,1.69116807266995,0.00416739265579945,6.09158276151007E-06,-1.78482350088288E-05,0.00558725616661636,-5.79347751219338E-05,0.00836335708991921,0,0,0,0,0,0,package://d1_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://d1_description/meshes/base_link.STL,,00-1/_0014-1;00-1/0007-1/_0002-1;00-1/_F0001-1;00-1/0017-4;00-1/0017-1;00-1/0017-2;00-1/0017-3;00-1/0007-1/DM_ORIN_NX-CB-V2_1-1;00-1/0012-1/001_2-1;00-1/0012-2/001_2-1;00-1/0012-1/001-1/0015-1;00-1/0012-2/001-1/0015-1;00-1/0002-1/0003-2;00-1/0002-1/0003-1;00-1/0007-1/0008-1;00-1/0002-1/10-28000-2;00-1/0002-1/10-280-1000-1;00-1/0002-1/10-28000-1;00-1/0002-1/10-280-1000-2;00-1/0002-1/0005-14;00-1/0007-1/20002-1;00-1/0007-1/10002-2;00-1/0002-1/0005-2;00-1/0002-1/0005-1;00-1/0002-1/DM 6248P-4;00-1/0002-1/DM 6248P-3;00-1/0002-1/DM 6248P-1;00-1/0002-1/DM 6248P-2,base1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_thigh,-0.0187086098097331,0.0555367687700249,-0.0240871707067071,0,0,0,0.503894387861908,0.00101306786508549,-1.71045212437998E-05,0.000526766596462124,0.00152761199621084,-2.44536124350539E-05,0.000616172913122364,0,0,0,0,0,0,package://d1_description/meshes/FL_thigh.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://d1_description/meshes/FL_thigh.STL,,200长腿-2/装配体1^200长腿-1/DM 6248P-1;200长腿-2/装配体1^200长腿-1/0016-1;200长腿-2/装配体1^200长腿-1/大腿-1,LF2,yaxis,FL_thigh_joint,revolute,0.21175,0.07925,-0.061497,0,0,0,base_link,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
FL_calf,0.0293815076719851,-0.000150820980927696,-0.132078654552548,0,0,0,0.146160089728571,0.000988554366903735,5.37962072365483E-07,-0.000179095505455534,0.00103416679258406,-3.32386872804018E-06,5.46884100967742E-05,0,0,0,0,0,0,package://d1_description/meshes/FL_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://d1_description/meshes/FL_calf.STL,,200长腿-2/装配体2^200长腿-1/小腿-1,LF3,yaxis,FL_calf_joint,revolute,-0.099998,0.07825,-0.17321,0,0,0,FL_thigh,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
FL_foot,-0.000129740873953177,-0.00019999999999995,-0.000235270858739423,0,0,0,0.0302848014402242,2.54690785943717E-06,1.92312013569875E-20,-6.20026563757182E-08,5.00438861452646E-06,-6.40992771120739E-19,2.61997330420408E-06,0,0,0,0,0,0,package://d1_description/meshes/FL_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://d1_description/meshes/FL_foot.STL,,200长腿-2/左前足-1,LF4,,FL_foot_joint,fixed,0.037136,0,-0.22191,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_thigh,-0.036483625129476,-0.0753197354413163,-0.0484043404966772,0,0,0,0.253586303515742,0.000905490501717405,1.67369069067316E-05,0.00052057653432233,0.00136114635226532,2.47035574674176E-05,0.000476507626612093,0,0,0,0,0,0,package://d1_description/meshes/FR_thigh.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://d1_description/meshes/FR_thigh.STL,,200长腿-镜向-4/装配体3^200长腿-镜向-1/大腿-镜向-1,RF2,yaxis,FR_thigh_joint,revolute,0.21175,-0.07925,-0.061497,0,0,0,base_link,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
FR_calf,0.0320340747013267,-0.31484917991271,-0.133583287618459,0,0,0,0.146160198349765,0.000988554763651319,-5.37965763244956E-07,-0.000179095536923385,0.00103416722138282,3.32388976369189E-06,5.46884456428959E-05,0,0,0,0,0,0,package://d1_description/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://d1_description/meshes/FR_calf.STL,,200长腿-镜向-4/装配体4^200长腿-镜向-1/小腿-镜向-1,LF3,yaxis,FR_calf_joint,revolute,-0.1,0.23675,-0.17321,0,0,0,FR_thigh,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
FR_foot,-0.000129740873894918,0.000199999999999922,-0.00023527085874836,0,0,0,0.0302848014402242,2.54690785943709E-06,-1.69947847926084E-20,-6.20026563756738E-08,5.00438861452646E-06,6.42183689763192E-19,2.61997330420416E-06,0,0,0,0,0,0,package://d1_description/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://d1_description/meshes/FR_foot.STL,,200长腿-镜向-4/右足-1,RF4,,FR_foot_joint,fixed,0.039788,-0.315,-0.22342,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_thigh,-0.0372131918448111,0.0753197507623905,-0.047842414103153,0,0,0,0.253586660780251,0.000889518158363916,-1.71115980567018E-05,0.000526875632720538,0.00136114835460736,-2.44454470638879E-05,0.000492481953461196,0,0,0,0,0,0,package://d1_description/meshes/RL_thigh.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://d1_description/meshes/RL_thigh.STL,,200长腿-1/装配体1^200长腿-1/大腿-1,LH2,yaxis,RL_thigh_joint,revolute,-0.21175,0.07925,-0.061497,0,0,0,base_link,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
RL_calf,0.0293815080847,-0.000150820690565989,-0.132078654431617,0,0,0,0.146160095276554,0.000988554367480858,5.37962619910281E-07,-0.000179095505372145,0.00103416679349681,-3.32386868507207E-06,5.46884111515692E-05,0,0,0,0,0,0,package://d1_description/meshes/RL_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://d1_description/meshes/RL_calf.STL,,200长腿-1/装配体2^200长腿-1/小腿-1,LH3,yaxis,RL_calf_joint,revolute,-0.099998,0.07825,-0.17321,0,0,0,RL_thigh,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
RL_foot,-0.000129740873953343,-0.000200000000000006,-0.000235270858739589,0,0,0,0.0302848014402242,2.54690785943722E-06,1.80181672488961E-20,-6.20026563757509E-08,5.00438861452646E-06,-6.40423305679489E-19,2.61997330420403E-06,0,0,0,0,0,0,package://d1_description/meshes/RL_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://d1_description/meshes/RL_foot.STL,,200长腿-1/左前足-1,LH4,,RL_foot_joint,fixed,0.037136,0,-0.22191,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
RR_thigh,-0.0364836252546236,-0.0753197356637548,-0.0484043409662199,0,0,0,0.25358630003749,0.000905490504084841,1.67369071933124E-05,0.000520576538074039,0.00136114635792282,2.47035574724952E-05,0.000476507629976301,0,0,0,0,0,0,package://d1_description/meshes/RR_thigh.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://d1_description/meshes/RR_thigh.STL,,200长腿-镜向-2/装配体3^200长腿-镜向-1/大腿-镜向-1,RH2,yaxis,RR_thigh_joint,revolute,-0.21175,-0.07925,-0.061497,0,0,0,base_link,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
RR_calf,0.0293815012206093,0.000150820213435904,-0.13207867024599,0,0,0,0.146160201907724,0.000988554763917995,-5.37965493448983E-07,-0.000179095536995594,0.00103416722226566,3.32388981556473E-06,5.46884465017033E-05,0,0,0,0,0,0,package://d1_description/meshes/RR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://d1_description/meshes/RR_calf.STL,,200长腿-镜向-2/装配体4^200长腿-镜向-1/小腿-镜向-1,RH3,yaxis,RR_calf_joint,revolute,-0.097349,-0.07825,-0.17471,0,0,0,RR_thigh,0,1,0,30,6.28,-3.14,3.14,,,,,,,,
RR_foot,-0.000129740873894835,0.00019999999999995,-0.000235270858748415,0,0,0,0.0302848014402242,2.54690785943709E-06,-1.97989063038443E-20,-6.20026563756711E-08,5.00438861452646E-06,6.41790668805043E-19,2.61997330420416E-06,0,0,0,0,0,0,package://d1_description/meshes/RR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://d1_description/meshes/RR_foot.STL,,200长腿-镜向-2/右足-1,RH4,,RR_foot_joint,fixed,0.037136,0,-0.22191,0,0,0,RR_calf,0,0,0,,,,,,,,,,,,
